,Nutr_no,Units,Tagname,NutrDesc,Num_Dec,SR_Order
53,406,mg,NIA,Niacin,3,6600
54,410,mg,PANTAC,Pantothenic acid,3,6700
55,415,mg,VITB6A,Vitamin B-6,3,6800
56,417,µg,FOL,"Folate, total",0,6900
57,418,µg,VITB12,Vitamin B-12,2,7300
58,421,mg,CHOLN,"Choline, total",1,7220
59,428,µg,MK4,Menaquinone-4,1,8950
60,429,µg,VITK1D,Dihydrophylloquinone,1,8900
61,430,µg,VITK1,Vitamin K (phylloquinone),1,8800
62,431,µg,FOLAC,Folic acid,0,7000
63,432,µg,FOLFD,"Folate, food",0,7100
64,435,µg,FOLDFE,"Folate, DFE",0,7200
65,454,mg,BETN,Betaine,1,7270
66,501,g,TRP_G,Tryptophan,3,16300
67,502,g,THR_G,Threonine,3,16400
68,503,g,ILE_G,Isoleucine,3,16500
69,504,g,LEU_G,Leucine,3,16600
70,505,g,LYS_G,Lysine,3,16700
71,506,g,MET_G,Methionine,3,16800
72,507,g,CYS_G,Cystine,3,16900
73,508,g,PHE_G,Phenylalanine,3,17000
74,509,g,TYR_G,Tyrosine,3,17100
75,510,g,VAL_G,Valine,3,17200
76,511,g,ARG_G,Arginine,3,17300
77,512,g,HISTN_G,Histidine,3,17400
78,513,g,ALA_G,Alanine,3,17500
79,514,g,ASP_G,Aspartic acid,3,17600
80,515,g,GLU_G,Glutamic acid,3,17700
81,516,g,GLY_G,Glycine,3,17800
82,517,g,PRO_G,Proline,3,17900
83,518,g,SER_G,Serine,3,18000
84,521,g,HYP,Hydroxyproline,3,18100
85,573,mg,,"Vitamin E, added",2,7920
86,578,µg,,"Vitamin B-12, added",2,7340
87,601,mg,CHOLE,Cholesterol,0,15700
88,605,g,FATRN,"Fatty acids, total trans",3,15400
89,606,g,FASAT,"Fatty acids, total saturated",3,9700
90,607,g,F4D0,4:0,3,9800
91,608,g,F6D0,6:0,3,9900
92,609,g,F8D0,8:0,3,10000
93,610,g,F10D0,10:0,3,10100
94,611,g,F12D0,12:0,3,10300
95,612,g,F14D0,14:0,3,10500
96,613,g,F16D0,16:0,3,10700
97,614,g,F18D0,18:0,3,10900
98,615,g,F20D0,20:0,3,11100
99,617,g,F18D1,18:1 undifferentiated,3,12100
100,618,g,F18D2,18:2 undifferentiated,3,13100
101,619,g,F18D3,18:3 undifferentiated,3,13900
102,620,g,F20D4,20:4 undifferentiated,3,14700
103,621,g,F22D6,22:6 n-3 (DHA),3,15300
104,624,g,F22D0,22:0,3,11200
105,625,g,F14D1,14:1,3,11500
106,626,g,F16D1,16:1 undifferentiated,3,11700
107,627,g,F18D4,18:4,3,14250
108,628,g,F20D1,20:1,3,12400
109,629,g,F20D5,20:5 n-3 (EPA),3,15000
110,630,g,F22D1,22:1 undifferentiated,3,12500
111,631,g,F22D5,22:5 n-3 (DPA),3,15200
112,636,mg,PHYSTR,Phytosterols,0,15800
113,638,mg,STID7,Stigmasterol,0,15900
114,639,mg,CAMD5,Campesterol,0,16000
115,641,mg,SITSTR,Beta-sitosterol,0,16200
116,645,g,FAMS,"Fatty acids, total monounsaturated",3,11400
117,646,g,FAPU,"Fatty acids, total polyunsaturated",3,12900
118,652,g,F15D0,15:0,3,10600
119,653,g,F17D0,17:0,3,10800
120,654,g,F24D0,24:0,3,11300
121,662,g,F16D1T,16:1 t,3,11900
122,663,g,F18D1T,18:1 t,3,12300
123,664,g,F22D1T,22:1 t,3,12700
124,665,g,,18:2 t not further defined,3,13800
125,666,g,,18:2 i,3,13700
126,669,g,F18D2TT,"18:2 t,t",3,13600
127,670,g,F18D2CLA,18:2 CLAs,3,13300
128,671,g,F24D1C,24:1 c,3,12800
129,672,g,F20D2CN6,"20:2 n-6 c,c",3,14300
130,673,g,F16D1C,16:1 c,3,11800
131,674,g,F18D1C,18:1 c,3,12200
132,675,g,F18D2CN6,"18:2 n-6 c,c",3,13200
133,676,g,F22D1C,22:1 c,3,12600
134,685,g,F18D3CN6,"18:3 n-6 c,c,c",3,14100
135,687,g,F17D1,17:1,3,12000
136,689,g,F20D3,20:3 undifferentiated,3,14400
137,693,g,FATRNM,"Fatty acids, total trans-monoenoic",3,15500
138,695,g,FATRNP,"Fatty acids, total trans-polyenoic",3,15600
139,696,g,F13D0,13:0,3,10400
140,697,g,F15D1,15:1,3,11600
141,851,g,F18D3CN3,"18:3 n-3 c,c,c (ALA)",3,14000
142,852,g,F20D3N3,20:3 n-3,3,14500
143,853,g,F20D3N6,20:3 n-6,3,14600
144,855,g,F20D4N6,20:4 n-6,3,14900
145,856,g,,18:3i,3,14200
146,857,g,F21D5,21:5,3,15100
147,858,g,F22D4,22:4,3,15160
148,859,g,F18D1TN7,18:1-11 t (18:1t n-7),3,12310
