NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
01042,4,1,cubic inch,18,nan,nan
01042,5,1,"cup, shredded",113,nan,nan
01042,6,1,"cup, diced",140,nan,nan
01042,7,1,"cup, melted",244,nan,nan
01043,1,1,"cup, diced",140,nan,nan
01043,2,1,"cup, melted",244,nan,nan
01043,3,1,"cup, shredded",113,nan,nan
01043,4,1,oz,28.35,nan,nan
01043,5,1,cubic inch,18,nan,nan
01043,6,1,slice (3/4 oz),21,nan,nan
01044,1,1,"cup, diced",140,nan,nan
01044,2,1,"cup, shredded",113,nan,nan
01044,3,1,oz,28.35,nan,nan
01044,4,1,cubic inch,18,nan,nan
01044,5,1,slice (3/4 oz),21,nan,nan
01045,1,1,oz,28.35,nan,nan
01045,2,1,package (8 oz),227,nan,nan
01046,1,1,cup,113,nan,nan
01046,2,1,oz,28.35,nan,nan
01046,3,1,slice (3/4 oz),21,nan,nan
01046,4,1,package (8 oz),227,nan,nan
01047,1,1,oz,28.35,nan,nan
01047,2,1,package (8 oz),227,nan,nan
01048,1,1,"cup, diced",140,nan,nan
01048,2,1,cup,244,nan,nan
01048,3,1,jar (5 oz),128,nan,nan
01048,4,1,cubic inch,18,nan,nan
01048,5,1,jar (5 oz),142,nan,nan
01048,6,1,slice,34,nan,nan
01048,7,1,"slice, thin",14,nan,nan
01049,1,1,fl oz,30.20,nan,nan
01049,2,1,tbsp,15,nan,nan
01049,3,1,cup,242,nan,nan
01049,4,1,"container, individual (.5 fl oz)",15,nan,nan
01050,1,1,fl oz,30,nan,nan
01050,2,1,tbsp,15,nan,nan
01050,3,1,cup,240,nan,nan
01050,4,1,"container, individual",11.10,nan,nan
01052,1,1,"cup, whipped",120,nan,nan
01052,2,1,"cup, fluid (yields 2 cups whipped)",239,nan,nan
01052,3,1,tbsp,15,nan,nan
01053,1,1,"cup, whipped",120,nan,nan
01053,2,1,"cup, fluid (yields 2 cups whipped)",238,nan,nan
01053,3,1,tbsp,15,nan,nan
01053,4,1,fl oz,29.80,nan,nan
01054,1,1,cup,60,nan,nan
01054,2,1,tbsp,3,nan,nan
01055,1,1,tbsp,15,nan,nan
01055,2,1,cup,242,nan,nan
01056,1,1,tbsp,12,nan,nan
01056,2,1,cup,230,nan,nan
01057,1,1,cup,254,nan,nan
01057,2,1,fl oz,31.80,nan,nan
01057,3,1,quart,1016,nan,nan
01058,1,1,tbsp,12,nan,nan
01058,2,1,cup,235,nan,nan
01059,1,1,cup,244,nan,nan
01059,2,1,quart,976,nan,nan
01060,1,1,cup,244,nan,nan
01060,2,1,fl oz,30.50,nan,nan
01060,3,1,quart,976,nan,nan
01061,1,1,serving,19,1,nan
01067,1,1,"container, individual",15,nan,nan
01067,2,1,fl oz,30,nan,nan
01067,3,1,cup,240,nan,nan
01067,4,0.50,cup,120,nan,nan
01068,1,1,"container, individual",15,nan,nan
01068,2,0.50,cup,120,nan,nan
01069,1,1,cup,94,nan,nan
01069,2,1,tsp,2,nan,nan
01069,3,1,packet,3,nan,nan
01070,1,1.50,oz,43,nan,nan
01070,2,1,"portion, amount to make 1 tbsp",1.30,nan,nan
01071,1,1,cup,80,nan,nan
01071,2,1,tbsp,4,nan,nan
01071,3,1,package yields,160,nan,nan
01072,1,1,cup,70,nan,nan
01072,2,1,tbsp,4,nan,nan
01073,1,1,cup,75,nan,nan
01073,2,1,tbsp,4,nan,nan
01074,1,1,oz,28.35,nan,nan
01074,2,1,cup,230,nan,nan
01076,1,1,cup,244,nan,nan
01076,2,1,quart,976,nan,nan
01077,1,1,cup,244,nan,nan
01077,2,1,fl oz,30.50,nan,nan
01077,3,1,tbsp,15,nan,nan
01077,4,1,quart,976,nan,nan
01078,1,1,cup,244,nan,nan
01078,2,1,quart,976,nan,nan
01079,1,1,cup,244,nan,nan
01079,2,1,fl oz,30.50,nan,nan
01079,3,1,quart,976,nan,nan
01080,1,1,cup,245,nan,nan
01080,2,1,quart,980,nan,nan
01081,1,1,cup,246,nan,nan
01081,2,1,quart,984,nan,nan
01082,1,1,cup,244,nan,nan
01082,2,1,fl oz,30.50,nan,nan
01082,3,1,quart,976,nan,nan
01083,1,1,cup,245,nan,nan
01083,2,1,quart,980,nan,nan
01084,1,1,cup,246,nan,nan
01084,2,1,quart,984,nan,nan
01085,1,1,cup,245,nan,nan
01085,2,1,fl oz,30.60,nan,nan
01085,3,1,quart,980,nan,nan
01086,1,1,cup,245,nan,nan
01086,2,1,fl oz,30.60,nan,nan
01086,3,1,quart,980,nan,nan
01087,1,1,cup,246,nan,nan
01087,2,1,quart,984,nan,nan
01088,1,1,cup,245,nan,nan
01088,2,1,fl oz,30.60,nan,nan
01088,3,1,quart,980,nan,nan
01089,1,1,cup,244,nan,nan
01089,2,1,fl oz,30.50,nan,nan
01089,3,1,quart,976,nan,nan
01090,1,0.25,cup,32,nan,nan
01090,2,1,cup,128,nan,nan
01091,1,0.25,cup,30,nan,nan
01091,2,1,cup,120,nan,nan
01091,3,5,tbsp,23,1,nan
